stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0.28,1.97,0,0.28,0,0,0,0.28,0.28,0,0,0.28,0,0.28,0,0,0
21Day,0.37,0.37,0,1.85,0.37,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0.37,0.37,0,0.37
3Month,0.1,0,0,0.52,0,0.1,0,0,0,0.73,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0.1,0.21
22Month,0,0.68,0.14,0.55,0,0,0.27,0.41,0,2.19,0,0,0.41,0.14,0,0.14,0.27,0,0,0,0,0,0,0,0,0,0.14
