stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8,4,0,12,0,0,1,0,0,0,1,0,0,0,0,4,5,10,39,0,0,0,3,16,276,0,0,7,0,0,0,0,1,0,0,0
72hpf,1.41,0.28,0,1.69,0.28,0,0.28,0,0,0,0,0.28,0,0.28,0,1.97,3.95,0.28,5.92,0,0.28,0,0,29.88,18.6,0.56,0.85,2.25,0.28,0,1.97,0,0.56,0,0,0
21Day,4.81,0,0.37,11.84,6.66,0,5.55,0,0.37,0,0,0,0,2.96,1.48,0.37,4.44,3.33,22.2,0,0,1.48,0.37,15.91,16.28,0,1.11,5.18,1.85,0,4.07,2.59,1.11,0,0,1.85
3Month,0,0.1,0.1,1.98,0,0.1,0,0.31,0.21,0,0,1.14,0.1,0.1,0.94,0.31,0.62,0.1,0.73,0.1,0,0.1,0.1,0.1,0,0.1,0.31,0,0,2.81,0,0,0,0.1,0.62,0.21
22Month,0,0.27,0,0.14,0,0,0,0,0.55,0.27,0,2.46,0.14,0,0.27,0,0,0,0.55,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0
