stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Hatching_gland,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0.28,4.23,0,1.97,0.28,0.28,3.95,0,0,0
21Day,0.37,0,0,0,0,0,2.96,0.74,0.74,0.37,0,1.85,0.37,0,0
3Month,0,0,0,0,0.21,0,0.1,0,0,0,0,0,0,0.1,0.1
22Month,0,0.27,0.14,0,0.41,0,0,0,0,0,0,0,0,0,0
