stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,2.82,2.82,0,0,1.13,0,0,0,0.28,0,0
21Day,0.37,0,0.37,0.37,0.74,0,0,0,0,0.37,0,0,0,0,3.33,0,0,0,0.37,1.11,0,0,2.22,0,0.37,1.11,0,0,0
3Month,0,0.21,0.52,0.1,0,0.21,0.31,1.14,0.21,0,0.94,0.31,0.21,0.21,0.83,0.31,0.1,0.31,0.1,0.1,0.31,0.1,0,0.21,9.47,0,0,0.42,2.6
22Month,0,0,0.14,0,0,0,0,0.27,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
