stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,77,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,27.9,3.38,0,0,0.56,0.56,0,0,0,0,0,0,0,0,0,0,0.56,0,3.1,0,0,0,0.28,17.19,4.51,0,0.28,0,12.12,0.28,0,0,1.69,0,0,0,0
21Day,14.43,1.48,0,0.74,0,0.37,0,0,0,0.37,0,0.37,0,0,0,0.37,0.37,0.37,2.22,0,0,0.37,0,4.81,1.85,0,0,0,7.03,0.74,0,0,0,0,0,0,0.37
3Month,1.35,13,0,4.68,0,0,0.42,0,0.42,3.12,0,58.87,0.83,0.1,1.25,0.42,1.14,1.46,51.49,24.65,0,0.62,0.42,0.31,0,0.42,0.1,0,3.02,1.04,0.1,2.18,0,0.1,0.31,1.66,0.42
22Month,1.09,23.37,0.68,2.05,0,0,0.55,0.14,0.68,1.23,1.09,117.25,1.37,0.27,2.32,0,0.41,1.5,66.27,1.09,3.96,0.14,0,0.55,0.14,0.27,0.27,0.27,2.05,0.41,0,0.82,0.14,0,0,0,0.41
