stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,176,0,0,0,2,32,0,0,0,46,0,0,0,0,0,0,0,0,0
72hpf,5.64,1.69,0,2.54,0.85,3.95,0,0,0,0.28,0,0,0,0,0,0,1.69,4.79,0.85,226.89,0,1.69,0,19.45,17.19,0,0.28,0,144.02,0,0,1.97,0,0.28,4.23,0,0,0
21Day,27.38,0.37,0,7.03,0.37,4.81,0,0,0,0,0,0,0,0.37,3.33,1.11,0.74,4.07,1.11,213.48,0,2.96,0,7.77,2.22,0.74,0.37,0,65.86,4.07,0,1.11,0.74,2.96,1.48,0.37,0,1.48
3Month,0.21,0.83,0.1,2.5,0,0,0.21,0.21,0.31,2.91,0.1,0,2.39,0.42,0.21,1.04,0,0.52,1.87,70.32,27.36,2.81,0.1,0.21,0.1,0.42,0.21,0,2.81,0.21,1.46,0.1,0,0,0.31,0.94,0.21,0.73
22Month,0,0.82,0,0.68,0,0,1.09,0,0.14,1.09,0.14,0,4.1,0.27,0,0.55,0.14,0,0.27,46.05,2.05,0.82,0,0.14,0.14,0.27,0.27,0.27,0.27,0,1.64,0.27,0,0,0.14,0,0,0.27
