stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.85,0.28,0.28,0,0,0,0,0,0,0,0,1.13,0.28,0.28,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,1.48,0,0,0,0,0,0.74,0,0,0,1.11,0,0,0,0,0,1.11,0.74,0,0,0,0,0,0,0,0.37
3Month,0,0,0,3.95,0.21,0,0,0,0.42,0,1.04,0.42,0.42,2.29,0.42,0.1,0.52,0.1,0,0.1,0.21,0.1,0.1,0,0.1,0.42,0.1,0.31,0.1,0
22Month,0,0.68,0.14,11.89,0.14,0,0.14,0.41,0.68,0.27,7.11,0.27,0.82,0.82,0.14,0.41,0.27,0.14,0.14,0.14,0,0,0.14,0.14,0,0.14,0,0,0,0.27
