stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0.37,0,0,0,0,0,0,0,1.11,0,0.37,1.48,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0.74,0,0,0,0,0,0,0,0,0
3Month,6.87,39.73,81.97,422.31,2.81,30.37,6.45,1.87,83.32,136.99,2.18,5677.56,191.7,15.29,994.4,65.32,142.71,101.94,186.29,39.94,26.52,54.82,44.31,19.14,5.2,26.32,27.56,0,8.95,173.6,1.25,111.61,9.26,0.73,0.1,1.98,46.81,72.29,121.28
22Month,3.83,33.89,37.31,72.83,0.41,27.06,1.09,0,21.59,46.32,23.09,6614.24,24.46,8.06,820.85,5.88,11.48,39.08,79.94,3.83,324.27,24.19,0.96,4.37,1.5,9.7,20.5,8.34,4.24,19.27,0,11.34,7.11,2.19,0,0.27,4.65,0.14,18.45
