stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,134,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,1,1,9,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,36.92,0.28,0,0,0,0,0,0,0,0,0,0,7.61,0,0.56,0,0.28,0,4.51,3.95,0,1.13,0,0,0.28,0,0.56,0,0,0
21Day,0,0,0,15.17,1.11,0,0.37,0,0,0,0.37,0,0.37,0,0,2.96,0,0.37,0,0.37,0,2.22,2.59,0,0,0.74,0,0.37,0,0,0,0,0
3Month,0,0,0,13.21,0,0,0,0,0.31,0,2.39,0.31,0,0.42,0,2.29,0.31,0.83,0,0.1,0,0.1,0,0,0,0.1,1.35,0.21,0.1,0,0.94,0.42,0.21
22Month,0,0.27,0.14,3.42,0,0.14,0,0.14,0.68,0.14,5.06,0,0.41,0.68,0,0.82,0,0.27,0.27,0,0,0,0,0.14,0,0,0.68,0.41,0,0,0,0,0
