stage,Cardiomyocyte,Epithelial_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,1.13,0,0,0,0,0,0,0.28,0,0
21Day,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37
3Month,0,0.1,0,2.39,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0,0.1,0
22Month,0,0.14,0,0.27,0.14,0,0,0,0,0,0,0,0.14,0,0,0
