stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,2.25,1.41,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0,4.81,0.37,0,0,0,0,0,0,0,0,0,0,0,6.29,2.96,1.11,0,0,0,0,0.74,0.37,0,0,0,0,0,0,0,0,0
3Month,0,0.31,0.21,26.11,0,0.1,0.1,17.89,0.1,0,0,4.06,0.52,0.1,14.77,0.42,1.46,9.47,1.25,0.1,0,7.7,0.1,0.1,0,1.66,0,0,0.83,6.76,0.1,0.1,1.46,4.68
22Month,0,2.73,2.87,21.45,0,0,0.14,4.1,0.82,0.55,0,3.69,0,0.41,10.8,0.55,5.74,8.88,6.01,0.14,0.27,2.73,0,0.14,0,0.68,0.27,0.14,0,4.24,0.14,0.14,0,1.23
