stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,1.13,0.28,0,0,0,0,0,0,0
21Day,0,0,1.11,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0.21,1.87,0.94,0.1,0,0.52,0.21,1.14,0.1,0.1,27.56,0.73,0.31,0.31,0,0.1,0,0,0,0,0.21,0.31,0.1,0.21,0.31
22Month,0.14,2.32,0.68,0.14,0,5.06,0.27,13.25,0,0,68.32,0.41,0.27,0.68,0.14,0.68,0,0,0.27,0.27,0.14,0,0,0,0.14
