stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Muscle_cell,Oligodendrocyte,Pancreatic_cell,Spermatocyte,T_cell
3Month,0.1,9.57,12.69,0.1,0.42,0.1,0.21,0.1,0.21
22Month,0,4.65,0,0,0,0,0,0,0
