stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.85,0,0.85,0.56,0,0,0,0,0,0,0,0,0,0,0,1.13,2.82,0.56,2.25,0,0,0,0,1.41,0.56,0,0,0,1.13,0,0,0,0,0,0
21Day,0.37,1.48,0,8.51,1.48,0,1.48,0,0,0,0,0,0.74,0.37,2.22,0.74,0.74,3.33,1.11,2.59,0,0,0.37,0,1.11,0,0,0,0,0.74,0.74,0,0,0,0,0
3Month,0,1.14,0.42,4.58,0,0.21,0.1,0.1,0.52,1.56,0,0,11.44,1.98,0.21,2.5,0.73,1.98,0.94,1.04,0.31,0.1,0.42,0.73,0.1,0,0.42,0.1,0,0.1,0.31,1.25,0,0.73,0.31,1.14
22Month,0,1.64,0.41,2.46,0,0,0.14,0,0.14,2.46,1.78,0,24.6,0.82,0.27,2.46,0,0.55,3.69,0.82,0,1.09,0.14,0,0.14,0,0.41,0.41,0.14,0.14,0,0.27,0.14,0.14,0,0.82
