stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,1,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0.28,1.97,0.56,0,0,0,0,7.33,3.1,0.28,0,0,0.85,0.28,0,0,0,0,0,0,0
21Day,0.37,0.74,0.37,0,3.7,0,1.11,0,0,3.33,0,0,0,4.44,1.48,0,0,0,0,4.81,1.85,0,0,0,1.85,0.74,0,0,0.74,0,0,0,3.33
3Month,0.83,2.7,0,0.21,0.62,0.42,19.24,3.12,15.29,1.35,1.25,0.21,0.83,14.04,1.04,0.1,0,0.31,0.31,0.31,0,0.1,0.21,0,0,0.73,0.1,2.5,0.1,0,5.93,0.62,6.55
22Month,1.23,1.5,0,0.68,0.27,0.41,29.24,4.24,7.93,1.09,0.68,0.14,0.14,22.14,0.82,0,0.27,0.27,0,0,0.14,0.55,0,0.14,0,0.14,0,0.82,0,0.14,0.27,0,3.28
