stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Nephron_cell,Neural_cell,Oligodendrocyte,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0
3Month,0.31,1.98,0.21,0.62,0.1,7.07,0.52,0.1,0,0.1,0.1,0.21,0.42
22Month,0.14,0.27,0,0,0,0,0,0,0,0,0,0,0
