stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,1,3,0,0,0
72hpf,0,0,0,0,0,0.28,0.28,1.97,0,0,0,0
21Day,0.37,0.37,0,0,0,0,0,0.74,0.37,0.37,0,0.37
3Month,0,0,0.31,0,0,0,0,0,0,0,0.21,0
22Month,0,0,0,0.27,0.14,0,0,0,0,0,0,0
