stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0.28,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0,0.74,0,0,0,0.74,0.74,0,0,0,0,0.37,2.22,0,0,0,0.37,0
3Month,0,1.14,0.1,0.83,0.21,0,2.7,0.52,0,0.62,0.31,0.42,0.52,0.1,0.1,0.21,0.1,0,0.21,0.1,0,0.1,0.21,27.46,0,0,0.1,35.89,0.31
22Month,0,0,0,0,0.27,0.14,1.09,0,0.14,0.14,0,0.27,0.14,0,0,0.14,0,0,0,0,0.41,0,0,5.88,0.14,0,0,0.27,0
