stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
72hpf,0,0.28,0,0,0,0,0,0.28,0,0.28,0.28,0.28,0.56,0,0
21Day,0.74,0,0,0.74,0,0,0.37,0,0.37,1.48,0,0,0.37,0,0
3Month,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0.42,0.1
22Month,0,0,0,0,0,0.68,0,0,0,0.14,0,0,0,0,0
