stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,0,3.38,2.54,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,0,0,1.48,0,0,0,0,0,0.37,0,0,0,0,1.11,0,0,0,0,4.07,0.37,0,0,0.37,0.37,0,0.37,0,0,0,0
3Month,0,0.42,0.21,3.22,0.1,0,0.1,0.31,0.73,3.33,0.42,0.21,1.14,0.1,0.94,0.21,1.04,0.1,0,0.21,0.1,0.31,0,0.1,0.1,0,0.21,1.87,0,0.1,0.52,6.66,0.31
22Month,0,0,0,0.55,0,0,0,0.27,0.14,3.28,0,0,0.14,0,0.14,0.55,0.14,0,0.14,0,0,0,0,0.14,0,0.14,0.14,0.14,0,0,0,0,0
