stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,8,0,0,0,0,0,0,0,0,0,0,1,2,0,11,0,0,0,1,41,0,0,1,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0.85,0.56,0,0.28,0,0,0,0,0,0,0,0.85,1.97,0,3.1,0.28,0,0,9.3,8.17,0.28,0,1.97,0.28,0,0.56,0,0,0,0
21Day,1.48,0,0,2.59,0.37,1.85,2.96,0,0.37,0,0.37,0,0.74,0,0.37,0.37,1.11,4.44,0,0.37,0,5.18,5.18,0.37,0,2.22,0.37,0,1.11,0,0,0,0
3Month,0.1,0,0.21,5.82,0,0,0,0.94,0.94,0,4.06,0.83,0.62,4.58,0.73,0.42,1.56,0.94,0,0.62,0.21,0.31,0,0.52,0.1,0,0.42,1.77,0,0,0,0.42,3.43
22Month,0.14,0.68,0.96,4.92,0,0,0.14,0.96,3.96,0.41,20.91,1.23,1.5,4.78,0.27,0.41,3.14,1.78,0.27,0.41,0,0.27,0.14,0.96,0.14,0.14,0,0.68,0.14,0.14,0.27,0,2.87
