stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0
72hpf,1.97,0,0.28,1.41,0,0,0,0,0,0,0,1.97,0,1.41,0,0,0,61.16,4.23,0,0.28,0.28,0,0,3.38,0,0
21Day,1.48,0,1.11,0.37,0,0,0,0,0,0,0.74,0.37,0,1.11,0,0,0.74,28.12,1.11,0,0.37,0.37,0.74,0.37,1.85,0,0.37
3Month,0.1,0,0.83,0,0.1,0.1,0,1.98,0.42,0.31,0,0.21,0.42,0.83,1.25,0,0.1,0.1,0,0.1,0.1,0,0,0.42,0.52,0.21,0.62
22Month,0.55,0.27,0,0,0,0.96,0.27,6.15,0,0.96,0.14,0,0.14,0.55,0.14,0.14,0,0,0,0.14,0.55,0,0,0.55,0.14,0,0
