stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0.56,0,0,0.28,0.28,0,0,0,0,0,0,0.28,0,0.28,0.85,0,0.28,0,0.85,0,0.28,12.97,3.95,0.56,0,0,0.56,0,0,0.56,0,0,0,0,0
21Day,2.22,0.37,1.11,17.76,1.48,0,0.37,0,0,24.42,0,1.11,4.07,1.11,9.99,1.11,11.84,0.37,0,1.11,0.37,19.61,8.51,0.37,0.74,0,7.4,4.07,0,5.55,2.96,1.48,0,0,1.11
3Month,0.42,0.62,0.1,6.97,0,0.31,1.14,1.35,0,238.93,2.39,0.52,8.43,0.94,2.08,0.52,2.18,0.83,0.94,0.83,0.31,0.21,0.1,0.42,0.21,0,0.31,2.6,2.29,0.42,0,0,0.1,0.1,0.62
22Month,0.27,0.14,0.27,0.41,0,0.14,0.96,0.27,1.09,92.24,0.27,0.14,1.5,0,0.27,0.41,1.64,0.14,2.32,0,0,0.14,0.27,0.55,0.14,0.14,0.14,0,0.14,1.09,0,0,0,0,0.27
