stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
3Month,0.1,0.1,0.52,0.31,0.21,1.35,0.21,0.42,0.1,0.21,0.31,0.1,0.1,0.21,0.21,0.31,0.1,7.28
22Month,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.27,0.14,0,0
