stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,11.84,1.41,0,1.97,0,0.28,0.28,29.31,17.47,0,0,1.69,0,0,1.69,0,0,0,0,0,0
21Day,0.37,0,0.74,35.89,1.85,0,0.37,3.33,0,0,0,0.74,0,0.37,1.11,1.48,5.55,0.74,2.22,0,0,0.37,11.47,4.07,0,0,1.11,1.11,0.74,0,0.37,0.37,0.37,0,0,0.74
3Month,0.1,0.21,0.83,32.14,0,0.31,0.21,32.77,0.62,0,0,5.2,0.52,0.31,1.25,0.52,1.46,0.83,1.14,0.1,0.1,0.73,0.31,0,0.1,0.42,0,0.52,2.6,0.1,0,0,0,0.31,4.37,0.73
22Month,0.27,0.27,12.16,20.36,0,0.55,0.27,18.31,1.09,0.68,0,25.69,1.23,0.14,2.32,0.27,0.14,2.46,2.87,0.14,0.55,0.14,0.14,0.14,0.14,0,0,0.14,2.6,0.14,0,0,0,0.14,0,0.55
