stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0.56,0.56,0,19.73,0,0.28,0,0,0,0,0,0,0
21Day,0.37,1.48,0,0.37,0,0,0,0,0,0,0,0.74,0,13.32,1.11,1.11,0.74,0.37,0,0.37,0,0,0
3Month,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0.42,0,0.21,0.21,0
22Month,0,0.27,0,0,0,0.14,0.14,2.19,0.41,0.27,0.14,0,0,0.14,0.14,0,0,0,0,0,0,0,0.14
