stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0.28,0,0,2.54,0.56,0,0,0,0.28
21Day,0,0,0,0.37,0.37,0,0,0,0,0.74,0,0.37,0,0,1.85,0.37,0.37,0.37,0.37,0.37
3Month,0,0,0.21,0,0,0,0,0,0.1,0,0.1,0,0.1,0.1,0,0,0,0,0,0
22Month,0,0.14,0,0,0,0,0.27,0.68,0,0,0,0,0,0,0,0,0,0,0,0
