stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0.37,0,4.81,0,0,0.37,1.11,1.48,0,0,0,0,2.59,0.37,0,0.37,0,0.74,0,0.37,0.74,0,0,39.59
3Month,0.62,1.87,0,0,0,0.1,0.52,0.62,0,3.43,1.35,0.21,0.62,0.31,0.62,0.83,1.04,0.31,0,0.1,0.21,0.21,0,0.31,0,0,0.21,1.56,0.1,0,0.62,1.66,56.79
22Month,0.68,0.96,0.14,0,0.27,0.14,0,1.5,0.14,5.74,0.14,0.55,0.96,0.14,0.27,1.91,1.37,0,0.14,0.14,0,0,0.14,0.14,0,0,0.41,0.41,0,0,0,0,24.46
