stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0.37,0,2.96,0.74,0,0,0,0.37,0,0,0,1.11,0,1.85,0,0,0,0,0.74,1.11,0,0.37,0,0,0,0.74,0,0,0,0
3Month,0,0.42,0.1,4.78,0,0.21,0.21,1.04,4.78,1.35,1.66,0.31,1.56,0.83,1.46,0.1,0,0.31,0.21,0.1,0.1,0.42,0.31,0.62,1.77,0.1,0,0.1,0.21,0.62,0.83
22Month,0,0,0,0.41,0,0,0.27,0.41,1.09,0.14,0.68,0,0.27,0.27,0.68,0,0.14,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0,0
