stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,1.13,0,1.13,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0,1.41,0,0,0,0,0
21Day,1.85,0,2.59,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0.74,0,0,0,0,0,0,0,1.11,0,0,0,0,0
3Month,5.3,0.1,9.57,0.1,0,18.31,0.62,0,0,1.46,0.21,0.42,2.18,0.21,0.21,0.21,0.21,0.31,0.31,0.1,0,0.21,0,0,0.31,0.52,0.31,0.21,0.21
22Month,3.14,1.5,4.24,0,0.14,10.25,0.41,0.27,0,4.65,0.27,1.23,1.23,0,0.55,2.32,0,0.14,0,0,0.14,0.27,0.27,0,0.14,0.82,0.41,0,0.27
