stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell
24hpf,1,3,0,0,0,0,0,0,3,1,14,0,0,1,0,0
72hpf,0.56,0.28,0,0,0,0,0,0,0,0.28,1.97,0,0,0.28,0,0
21Day,0,0,0.74,0,0,0.37,0,0,0.37,0.37,0,0,0,0,0,0
3Month,0,0.52,0,0,0.21,0,0.31,0,0.1,0,0,0,0,0,0.1,0.21
22Month,0,0,0,0.27,0,0,0.14,0.14,0.41,0,0,0.14,0.14,0,0,0
