stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,4,0,0,0,1,4,0,0,0,0,0,1,0,0,0
72hpf,0,0,0.85,0,0,0,0.85,0,1.69,0,0,0,7.05,3.66,0.56,0,0,0,0,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0,0,2.22,0,1.11,0,3.7,1.85,0,0,0,0,0.37,0,0,0,0
3Month,0.1,0.1,0.73,0.1,0.62,0.21,0.73,0.1,0.52,0.42,0.1,0.21,0.31,0.1,0,0.1,1.77,0.1,0,0.21,2.91,3.33,0.1
22Month,0,0,0.14,0.14,1.37,0.14,0,0,0.27,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0.14
