stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,1,0,0,0,0,0,44,0,1,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0
72hpf,28.18,7.05,39.74,5.07,45.66,0.28,0,1.13,0,1.41,0,2.82,0,12.4,445.32,7.33,68.77,1.69,2.25,419.39,195.04,1.97,2.54,79.48,1.13,0,31.29,0.85,1.97,3.95,0,0.28
21Day,0.74,0,0,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0,0.37,0,0.37,1.11,0,0,0,0,0,0.37,0,0,0,0.37,0,0
3Month,0,0.1,0.62,0,0,0.1,0,0.21,0,1.25,0.1,0.1,0.21,0,0.1,0.21,0,0,0.1,0,0,0,0,0,0.1,2.6,0,0,0,0,0.31,0.31
22Month,0,0,0.27,0,0,0,0.14,0,0,2.87,0,0.14,0.14,0,0,0,0.27,0,0.14,0,0,0,0,0,0,3.28,0.14,0,0,0,0,0
