stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0
21Day,0.37,0.74,0,0.37,0.74,1.11,0,0,0,0.37
3Month,0.21,0,0,0,0,0.21,0.1,0.1,0.1,1.66
22Month,0,0,0.41,0,0,0.27,0,0,0,0.41
