stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,1,0,1,0,0,0
72hpf,0,0,0.28,0,0,0.85,0,0.56,3.66,2.25,0.56
21Day,0.37,1.85,0,0,0,0.74,0.37,0,0,0.37,0.37
3Month,0,0.1,0,0.21,0,0,0,0,0,0,0
22Month,0,0.41,0,0.27,0.14,0,0,0,0,0,0
