stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3Month,0.21,0.1,0.83,0.42,0,0.1,0.1,0,0.1,0,0.1,0.21,0.1,6.03
22Month,0,0,0.41,0,0.14,0,0,0.14,0,0,0,0,0,0
