stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0.56,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0
21Day,0.37,0,3.7,0.37,0.37,0.37,0,0.37,0,0,2.22,0,0.37,2.22,1.11,5.18,0,0.74,0.37,0,0.74,0,0,4.81
3Month,0,0.1,0.52,0,0,0,0.1,0,0.31,0.1,0.1,0.21,0.1,0.62,0.21,24.03,0.21,0,0,0.21,0.83,0.1,0.1,4.06
22Month,0,0,0,0,0,0,0,0.14,0.82,0,0,0.14,0,0.27,0.27,7.38,0,0,0,0,0.55,0,0,0.82
