stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,13,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0.56,0,0,0,0.28,0,0,0
21Day,0.37,0,0.37,0,0,0,1.11,0,1.11,0.37,1.11,0,0.74,0,0,0,0,0.37,0,0.37,0.37,0,0,0
3Month,0.21,0,1.14,0.1,0.21,0,0.52,0.1,0.52,0.31,0,0.52,0.1,0.1,0.1,0.73,0,0,8.01,0.1,0,0.1,0.62,0.1
22Month,0,0.27,0.41,0,0.14,0.27,5.88,0,2.87,0,0,0.82,0.55,0,0,0,0,0,0.82,0.14,0,0,0,0
