stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0
72hpf,9.02,0,0.28,0,1.97,0,0,0,0,0,1.41,0,0.56,0.85,0.28,0.85,0.28,0,0,6.76,4.79,0.28,0,0.56,0,0,0,0,0,0,0
21Day,5.18,0,2.59,0,7.4,2.96,0,0,0.37,0,47.36,0,0.74,1.48,2.22,1.85,0.37,0,0,5.18,3.33,0,0,1.48,2.22,0.37,0.37,0.37,0,0,0.74
3Month,0.31,0.21,2.5,0.1,0,0,0.1,0.62,2.91,1.66,3.85,1.25,0.21,0.52,2.39,0.83,0,0.42,0.1,1.77,0.31,0.83,0.42,0,0.21,15.39,0.1,0,0.31,104.75,5.1
22Month,0,0.14,0.14,0,0,0.14,0,0,2.6,0,0.96,0.96,0,0,1.23,0.27,0,0.27,0,0.55,0,0.41,0,0,0,2.32,0,0,0,0,0.27
