stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.85,0.28,0,0,0,0,0,39.74,0,0.56,0.28,0,2.25,0.56,0,0,0,0,0,0,0,0
21Day,0,10.36,0,0,0,0.37,0,0,40.7,0.37,1.11,0,0,0,0,0,0.37,0.74,0,0,0,0.37,0
3Month,0,13.73,0,0.1,0.62,0.31,0.31,0.42,0.1,0.1,0.21,0,0.1,0,0,0.1,0,0,1.87,0.42,0.1,0,0.21
22Month,0,0,0,0,0.27,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0
