stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0.28,0,0.28,0.28,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0,0.1,0.52,0,0,0,0.52,0.21,0.21,0.1,0,0.1,0,0,0.52,10.19,0.1
22Month,0,0.14,0,0.14,0.14,2.32,0.14,0,0,0,0,0,0,0,0,0,0
