stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0
21Day,1.48,0,0,0,0.37,0,0,0,0,0,0,0.74,0,0,0.37,0,1.11,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0,0.1,0.1,1.46,0,0.1,0.1,0.21,0.21,1.87,0.62,0,0.62,0.52,0.21,0.21,0.52,0.1,0.1,0.1,0,0.1,0.1,0.1,9.99,0.1,0.1,16.64,0.1
22Month,0,0,0,0.14,0,0,0,0,0,0.14,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0
