stage,Intestinal_bulb_cell,Ionocyte,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,0.28,0.56,0.85,0,0,0,0
3Month,0.1,0,0,0,0,0.1,0,0.1
22Month,0,0,0,0,0.41,0,0.14,0
