stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,3,0,553,6,0,0,0,0,0,0,0,0,0,1,7,2,110,0,0,0,0,8,189,0,0,0,43,0,0,0,0,0,2,0,0,0
72hpf,3.95,0,0,72.15,3.38,3.38,0,0.28,0,0,0,0,0.28,0,2.25,162.34,0,71.59,0,0,0.56,0.28,22.55,47.91,0.28,0.28,0,110.2,0,0,0,26.78,0.28,0.85,0,0,0
21Day,2.96,0,0,8.51,0.74,2.22,0,0.74,0,0,1.11,0,1.11,0.37,0,8.14,1.11,83.62,0,0,1.85,0,6.29,7.77,0.37,0,0,41.81,2.22,0,0,9.99,0.37,0.74,0,0,0.37
3Month,0.1,0,0.1,2.39,0.1,0,0.1,0.1,0.73,1.04,1.87,0.62,0.1,0.94,0.21,0.62,0.31,57.21,16.64,0,0.42,0,1.35,1.35,0.21,0.1,0,1.04,0.42,0.1,4.16,1.14,0,0.1,0.42,2.29,0.73
22Month,0,0,0,0.82,0,0,0.27,0,1.91,0.82,2.19,0.55,0,0.41,0,0.14,0.41,26.1,1.78,0.14,0.41,0,0.14,0.41,0.14,0,0.14,1.23,0,0,0.14,0.41,0,0.14,0,0,0.55
