stage,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,1,0,0
72hpf,0,0,0,0.28,5.36,0,0,0
21Day,0,0.74,0.37,0,5.92,0,0.37,0.37
22Month,0.55,0,0,0,0,0,0,0
