stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,1.11,0.37,0,0.37,0,0,0.37,0,0,0,0.74,0.37,0.37,0,0,0,0,0,0,0,0,0
3Month,0,0,0.1,4.78,0,0.52,0.21,0,1.04,0.73,0,2.18,0.21,0.31,0.73,0.21,0.1,0.62,0,0.21,0,0.1,0.83,0.1,0.42
22Month,0.14,0.27,0,0.55,0,0.27,1.64,0.41,2.19,0.27,0.14,3.01,0,0,1.5,0,0,0,0.14,0,0.14,0,0.55,0,0.14
