stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,3,0,5,0,1,0,2,0,1,1,2,0,0,0,0,0,62,185,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,12.68,5.64,0,2.82,0,0,0,0,0,0,0,0,0,0,0,1.13,3.38,0,12.12,0,0.28,1.97,0,6.2,1.97,0,0.28,0,1.41,0,0,0,0,0,0,0,0,0
21Day,14.06,0.37,0,8.51,0,1.48,0,0.37,0,0,0,0.37,0,0.74,2.22,1.11,3.7,0.37,1.85,0,0,2.22,0,2.59,1.11,0,0.74,0,0.74,0.74,0.37,0,0,0.37,0,0,0,0
3Month,52.01,2.18,0.62,57.83,0.1,0,0.1,0.21,1.25,4.06,0,8.63,6.03,0.42,15.6,2.91,12.69,9.36,4.68,1.25,0,8.01,0.52,0.62,0.31,0.83,0.42,0,0.1,1.66,6.45,0.21,0,0,0,1.77,1.66,3.54
22Month,48.1,1.78,0.41,8.2,0.14,0,0.14,0.14,0.14,2.46,0,10.52,0.41,0.41,5.47,0.96,3.14,1.5,2.19,0.14,0.96,4.24,0,0.14,0.14,0.14,0.27,0.14,0,0.14,21.86,0.27,0.27,0,0,0,0,1.64
