stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0
3Month,0.21,1.35,0.1,0.21,0.1,0.62,0.31,0.1,0.42,0.1,0.21,0.21,0.1,0,0.21,0.1,0.31,0.1,1.87,0,0.1,8.95,0.42
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.55,0,0,0,0
