stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0
3Month,0,0,0.94,0.21,0.1,0,1.04,0.62,0,0.52,0.21,0.21,0.21,0.21,0.1,0,0.1,0,0.1,0.42,0.21,0.21
22Month,0.14,0.14,0.14,0,0,0.82,0.82,0.14,0.27,0.14,0.27,0.55,0.14,0,0,0,0,0.14,0,0,0,0
