stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0.28,0,0,0,0,0.28,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0,0,0,1.85,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.21,0.1,1.04,0.1,0,0.42,0.31,0,1.25,0.31,1.35,0,0.1,0.42,0.31,0,0.21,0,0.1,0.1,0.42,2.39,0,0.1,41.71,0.52
22Month,0.14,0,0.14,0,0.14,0,0.55,0.27,2.73,0.14,0.14,0.27,0.14,0.14,0.14,0.27,0,0,0,0,0,0,0,0,0,0
