stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0.74,0,0.37,0.37,1.48,0.37,0,0,0.37,0.37,0.37,0,0,0,0,9.25
3Month,0,1.25,0,0.1,0.83,0.83,20.28,0.1,0.52,0.1,0.21,0.83,0.83,0,0.21,0,0,0.21,0.42,0.1,0.31,1.56,25.07
22Month,0.41,0.41,0.41,0,0,0.55,0.55,0.27,0,0,0.14,0.41,0,0.27,0,0,0,0,0,0,0,0,10.66
