stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,7.61,0.28,0,0.28,0,0,0.28,1.13,1.13,0.28,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,3.33,0.74,0.37,0,0.37,0,0,0.37,0.74,0.37,0
3Month,0.1,0,0.21,0,0.83,0.21,0,0.1,0,0,0,0.1,0,0,0.1,0,0,0.52,0,0,0,0,0.1
22Month,0,0.14,0.14,0.14,2.87,0,0.14,0,0,0,0.14,0,0,0,0,0,0.14,0.14,0,0,0,0,0.14
