stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,16,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.69,1.69,0,0,0,0,0,0,0,0,1.13,0.56,0,2.54,0,0,0,0.28,6.2,3.38,0,0,1.13,0,0,2.54,0,0,0,0,0
21Day,0,0,0,1.85,0.74,0.74,0,0,0,1.11,0,0,0.74,0,0.74,0,2.22,0,0,0.37,1.48,1.85,2.22,0,0,0.74,0,0,0.74,0.37,0,0,0,0
3Month,0.1,0.21,0.52,6.24,0.42,0,0.21,0.21,0.52,60.64,1.04,0,1.87,1.87,1.25,0.62,0.52,0.31,0.21,0.83,33.7,1.56,0.1,0.62,0.1,0.1,1.46,5.93,0.1,0,0,0.62,48.89,0.73
22Month,0.27,0.68,0.27,5.6,0.14,0,0.14,0.41,0.55,195.68,0.41,0.14,0.82,0.55,0,0.68,0.96,0,3.28,0.41,3.42,0.27,0,0.55,0.14,0,0.68,4.65,0.14,0.14,0.14,0,0.27,0
