stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Oligodendrocyte,Pancreatic_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0,0,0,0,0,0,2.91,0,0,0.1,0,0,0,0,0.1
22Month,0.14,0.14,0.14,0.14,0.27,0.14,31.43,0.41,0.14,0.27,0.41,0.27,0,0.14,0.14
