stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,20,0,35,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,12,20,0,0,0,9,45,0,0,0,7,0,0,0,0,0,0,0,0,0
72hpf,0.56,10.43,0.28,37.49,0.28,0.85,0,0,0,0,0.28,0,0,0.28,0,1.13,0,3.66,38.05,1.13,12.68,0,0,1.69,17.76,7.33,1.41,0.85,0,12.68,0,0,2.54,0,0,2.25,0,0,0.28
21Day,1.48,8.88,0,80.66,0.74,8.14,0,6.29,0,1.85,2.22,0,0,1.48,3.33,32.56,0.37,1.48,15.54,3.7,36.63,0,0,6.66,10.36,7.03,2.96,0.74,0,12.21,4.07,0,4.44,0.74,0.37,1.11,0,0,17.39
3Month,0.1,12.59,1.04,38.8,0,0,0.42,1.66,0.31,14.46,10.09,0,0,6.35,17.99,2.39,3.74,1.04,10.71,6.87,8.74,1.46,0,2.6,1.77,0.21,4.99,0.42,0,0.42,0.83,1.56,0.21,0,0,0.21,8.32,0.42,22.47
22Month,0.14,14.48,2.87,12.85,0,0,0.68,1.5,0.27,3.96,9.02,1.5,0,14.89,12.57,4.78,4.78,0.14,1.37,8.47,7.65,0.14,0.55,2.46,0.14,0,4.37,0.55,0.27,0.41,0.41,2.05,0,0,0,0,0.96,0,12.98
