stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,0,0,0,0,1,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0
21Day,1.11,0,0,0,0,0,0,0,0,0,0,0,0
3Month,4.99,0.1,0.42,0.1,0.31,0.1,0.1,0.1,0,0,0.1,0,0.1
