stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0.28,0,0,0,0,0,0,0.28,0,0,0,0,4.23,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0.37,0,0
3Month,0,0.21,0,0,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0,0,0,0.1,0.1
22Month,0,0.14,0.14,0.14,1.09,0,0.14,0,0,0.14,0,0,0.14,0,0,0,0
