stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0.85,0,0,0,0,0.56,1.97,0,0,0,0,0.85,0.85,0,1.69,0,0,0
21Day,0.37,0,0,0.74,0,0,0,0,0,0,0,0,0,1.85,0.74,2.22,0,0,0,0,0.74,0.37,0,0,0.37,0,0.74,7.77,1.85,1.48,0,0,0
3Month,0,0.94,0,1.35,0.1,0,0.52,0.52,0,2.08,0.1,0.42,0.1,0.62,0.21,6.35,1.46,0,0.21,0.21,0.1,0,1.46,0.62,0,0.21,0,0,0,0.83,0.1,0.1,0.21
22Month,0,1.5,0.14,1.78,0,0.14,0.14,0.41,0.27,12.44,0.27,0.96,0.27,0.41,0.82,6.29,0.27,0.68,0.27,0,0.14,0,1.64,0.82,0,0.27,2.46,8.61,0,0,0,0,0
