stage,Epithelial_cell,Erythrocyte,Mt_rich_cell,Neural_cell,Osteoblast
24hpf,0,0,0,10,0
72hpf,0,0,0,1.69,0.28
21Day,0.37,0.37,0,1.11,0
22Month,0,0,0.14,0.82,0
