stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0.85,0,0,0,0,0,0,0,0,0.28,1.13,0,0,0,5.92,0.28,0,0.28,0,0,0,0,0,0,0
21Day,0,0,1.11,0.37,0,0,0,0,0.74,0,0,0,1.85,0,0.74,0,2.96,0.37,0.74,0.37,0.37,0,0,1.48,0,0,0
3Month,0.52,0,2.6,0,0.1,0.31,0.42,1.56,1.56,0,0.42,0.1,2.39,0.31,0.52,0.1,0.21,0,0.52,0,1.35,0,0.1,0,0.1,0.31,0.21
22Month,0.96,0.14,0.68,0,0,0,0,2.05,1.23,0.14,0.14,0,0.14,0,0.55,0.14,0.14,0,0.14,0,0,0.27,0,0,0,0,0.14
