stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,10,1,3,2,0,0,0,0,2,97,3,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.41,3.95,0.28,0,0,0,0,0,0,0,0,0,0.28,3.1,0,0.56,0,0,0,0.85,11.56,5.92,0,0,0,1.69,0.28,0,0,4.79,0,0,0,0
21Day,0,0,0,3.7,2.22,0,0,0.74,0.37,0,0,0,0,0,0.37,0.74,1.11,0.74,0,0,0,0,0,5.18,1.85,0.74,0,0,0,0.74,0,0,0.74,0,0,0,0
3Month,0.42,0.52,8.74,47.85,2.18,0,0.42,0.1,70.32,1.35,0,17.68,4.16,0.42,13.63,8.63,2.81,2.81,2.91,0.52,0,2.7,2.6,9.36,0.21,4.37,0.42,0,0.1,2.39,0.1,71.25,0.52,0.42,1.14,285.11,1.66
22Month,0,0.14,3.69,20.5,0.82,0,0.41,0,32.11,0.82,0.14,8.47,0.68,0.14,13.66,0.68,0.14,1.23,1.37,0,0.27,0.68,0.41,1.78,0.27,2.46,0.27,0.27,0.14,0,0,31.29,0,0,0,1.64,0.41
