stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,1.85,0,0,0.74,0
3Month,0.1,0.73,3.33,0.62,0.73,0,12.38,1.56,0.1,2.39,0.62,1.35,1.14,1.77,0.31,0.31,0.42,0.1,0.1,0.94,0.1,0.1,1.87,153.32,0.1,0.94,113.07,0.42
22Month,0,0,0.55,0,0.14,0.27,5.6,0,0,0.68,0,0.27,0.41,0.82,0,0,0,0,0,0,0.14,0,0.14,23.64,0,0,0.27,0
