stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0
72hpf,1.41,0,0.85,0.85,0,0,0,0,0,0,0,0.56,0.56,0,1.41,0,51.01,5.07,0,0,0.28,0.28,0,0
21Day,0.74,0.37,1.85,1.85,0,2.96,0,0,0,0.37,0,0.37,0,0.37,1.48,0,34.04,1.48,1.11,0.37,0,0,0,0.74
3Month,0,0.1,0.42,0,0.1,0,0.21,0.62,0.31,0,0.21,0,0,0.1,0.1,0.1,1.04,0,0,1.14,0,0,1.87,0.42
22Month,0,0,0,0,0,0,0.41,1.23,0.41,0,0,0,0.14,0.14,0,0,0.14,0,0,0,0,0,0,0
