stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0,1.97,0.28,0,0,0,0.28
21Day,0,0.37,0.37,0,0,0,0.37,0,0,1.11,0,0,0,0,0.74,0.37,0,0.37,0,0
3Month,0,0.73,0,0.1,0.21,0,1.04,0.1,0.1,0.1,0.21,0,0,0.1,0,0,0.21,0,3.12,0
